tag,elapsed_hr,gpu_hrs,cpu_pct,disk_used_gb
tfidf_logreg_notes_iter1,0.000,0.000,4.5,29.6
tfidf_logreg_notes_iter1,0.000,0.000,5.4,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.2,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.9,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
tfidf_logreg_notes_iter1,0.000,0.000,14.9,29.6
tabular_rf_xgb_iter1,0.002,0.000,9.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.9,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.1,29.6
lstm_binary_iter1,0.009,0.009,5.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.6,29.6
gru_binary_iter1,0.004,0.004,8.3,29.6
tfidf_logreg_notes_iter1,0.000,0.000,15.2,29.6
tabular_rf_xgb_iter1,0.002,0.000,11.2,29.6
gru_binary_iter1,0.004,0.004,16.9,29.6
lstm_binary_iter1,0.006,0.006,14.7,29.6
transformer_iter1,0.006,0.006,14.4,29.6
tfidf_logreg_notes_iter1,0.000,0.000,12.5,29.6
tabular_rf_xgb_iter1,0.001,0.000,6.9,29.6
gru_binary_iter1,0.004,0.004,16.4,29.6
lstm_binary_iter1,0.006,0.006,14.4,29.6
transformer_iter1,0.009,0.009,11.9,29.6
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.6
tabular_rf_xgb_iter1,0.001,0.000,7.2,29.6
gru_binary_iter1,0.004,0.004,16.4,29.6
transformer_iter1,0.005,0.005,14.8,29.6
lstm_binary_iter1,0.007,0.007,13.4,29.6
clinicalbert_transformer,0.014,0.014,8.1,29.6
tfidf_logreg_notes_iter1,0.000,0.000,17.5,29.6
tabular_rf_xgb_iter1,0.001,0.000,8.8,29.6
gru_binary_iter1,0.004,0.004,16.2,29.6
transformer_iter1,0.005,0.005,14.7,29.6
lstm_binary_iter1,0.006,0.006,14.7,29.6
clinicalbert_transformer,0.014,0.014,8.0,29.6
tfidf_logreg_notes_iter1,0.000,0.000,10.0,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.7,29.5
gru_binary_iter1,0.004,0.004,14.8,29.5
transformer_iter1,0.005,0.005,13.8,29.5
lstm_binary_iter1,0.006,0.006,13.6,29.5
clinicalbert_transformer,0.011,0.011,7.9,29.5
stacker_binary_iter1,0.000,0.000,32.9,29.5
tfidf_logreg_notes_iter1,0.000,0.000,12.0,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.8,29.5
gru_binary_iter1,0.004,0.004,16.7,29.5
lstm_binary_iter1,0.006,0.006,14.5,29.5
transformer_iter1,0.010,0.010,10.5,29.5
clinicalbert_transformer,0.012,0.012,7.9,29.5
stacker_binary_iter1,0.001,0.000,33.3,29.5
tfidf_logreg_notes_iter1,0.000,0.000,12.5,29.5
tabular_rf_xgb_iter1,0.001,0.000,6.8,29.5
gru_binary_iter1,0.004,0.004,16.2,29.5
transformer_iter1,0.005,0.005,14.6,29.5
lstm_binary_iter1,0.006,0.006,13.7,29.5
clinicalbert_transformer,0.013,0.013,8.1,29.5
stacker_binary_iter1,0.000,0.000,34.8,29.5
tfidf_logreg_notes_iter1,0.000,0.000,13.1,29.5
tabular_rf_xgb_iter1,0.001,0.000,7.3,29.5
gru_binary_iter1,0.004,0.004,15.9,29.5
transformer_iter1,0.005,0.005,14.4,29.5
lstm_binary_iter1,0.006,0.006,14.1,29.5
clinicalbert_transformer,0.012,0.012,7.9,29.5
stacker_binary_iter1,0.000,0.000,36.2,29.5
tfidf_logreg_notes_iter1,0.000,0.000,7.6,29.4
tabular_rf_xgb_iter1,0.001,0.000,6.6,29.4
gru_binary_iter1,0.004,0.004,13.6,29.4
lstm_binary_iter1,0.006,0.006,12.2,29.4
transformer_iter1,0.010,0.010,9.5,29.4
clinicalbert_transformer,0.013,0.013,5.8,29.4
stacker_binary_iter1,0.001,0.000,36.7,29.4
tfidf_logreg_notes_iter1,0.000,0.000,11.4,31.1
tabular_rf_xgb_iter1,0.002,0.000,6.9,31.1
gru_binary_iter1,0.003,0.003,17.4,31.1
lstm_binary_iter1,0.005,0.005,14.6,31.1
transformer_iter1,0.009,0.009,14.5,31.1
clinicalbert_transformer,0.014,0.014,8.1,31.1
stacker_binary_iter1,0.000,0.000,40.8,31.1
tfidf_logreg_notes_iter2,0.000,0.000,12.4,31.1
tabular_rf_xgb_iter2,0.001,0.000,6.8,31.1
gru_binary_iter2,0.004,0.004,16.8,31.1
lstm_binary_iter2,0.005,0.005,16.8,31.1
transformer_iter2,0.007,0.007,13.2,31.1
tfidf_logreg_notes_iter3,0.000,0.000,11.4,31.1
tabular_rf_xgb_iter3,0.001,0.000,7.0,31.1
lstm_binary_iter3,0.004,0.004,16.8,31.1
gru_binary_iter3,0.006,0.006,15.9,31.1
transformer_iter3,0.008,0.008,12.9,31.1
tfidf_logreg_notes_iter4,0.000,0.000,18.4,31.1
tabular_rf_xgb_iter4,0.002,0.000,16.1,31.1
gru_binary_iter4,0.004,0.004,20.8,31.1
lstm_binary_iter4,0.007,0.007,16.2,31.1
transformer_iter4,0.009,0.009,14.9,31.1
tfidf_logreg_notes_iter1,0.000,0.000,10.8,26.2
tabular_rf_xgb_iter1,0.001,0.000,7.7,26.2
gru_binary_iter1,0.003,0.003,17.4,26.2
lstm_binary_iter1,0.006,0.006,14.3,26.2
transformer_iter1,0.007,0.007,13.1,26.2
clinicalbert_transformer,0.013,0.013,7.9,26.2
tfidf_logreg_notes_iter2,0.000,0.000,13.2,26.2
tabular_rf_xgb_iter2,0.001,0.000,7.4,26.2
gru_binary_iter2,0.004,0.004,16.7,26.2
lstm_binary_iter2,0.007,0.007,14.4,26.2
transformer_iter2,0.009,0.009,12.6,26.2
clinicalbert_transformer,0.014,0.014,9.2,26.3
tfidf_logreg_notes_iter3,0.000,0.000,22.3,26.3
tabular_rf_xgb_iter3,0.008,0.000,56.1,26.3
lstm_binary_iter3,0.005,0.005,28.3,26.3
gru_binary_iter3,0.006,0.006,26.3,26.3
transformer_iter3,0.017,0.017,20.6,26.3
clinicalbert_transformer,0.015,0.015,11.2,26.3
tfidf_logreg_notes_iter4,0.000,0.000,13.9,27.2
tabular_rf_xgb_iter4,0.002,0.000,9.9,28.2
gru_binary_iter4,0.004,0.004,15.2,28.2
lstm_binary_iter4,0.007,0.007,13.4,28.2
transformer_iter4,0.009,0.009,11.9,28.2
clinicalbert_transformer,0.014,0.014,6.7,28.2
tfidf_logreg_notes_iter5,0.000,0.000,12.3,28.2
tabular_rf_xgb_iter5,0.002,0.000,9.2,28.2
transformer_iter5,0.005,0.005,15.7,28.2
gru_binary_iter5,0.006,0.006,14.9,28.2
lstm_binary_iter5,0.009,0.009,13.0,28.2
clinicalbert_transformer,0.012,0.012,6.6,28.2
tfidf_logreg_notes_iter6,0.000,0.000,12.3,28.2
tabular_rf_xgb_iter6,0.001,0.000,6.9,28.2
gru_binary_iter6,0.004,0.004,15.7,28.2
transformer_iter6,0.004,0.004,15.1,28.2
lstm_binary_iter6,0.005,0.005,13.7,28.2
clinicalbert_transformer,0.013,0.013,6.6,28.2
tfidf_logreg_notes_iter7,0.000,0.000,12.5,28.2
tabular_rf_xgb_iter7,0.001,0.000,7.7,28.2
gru_binary_iter7,0.009,0.009,15.0,28.2
lstm_binary_iter7,0.009,0.009,14.9,28.2
transformer_iter7,0.012,0.012,12.8,28.2
clinicalbert_transformer,0.014,0.014,6.8,28.2
tfidf_logreg_notes_iter8,0.000,0.000,12.9,28.2
tabular_rf_xgb_iter8,0.001,0.000,7.6,28.2
gru_binary_iter8,0.005,0.005,15.5,28.2
lstm_binary_iter8,0.006,0.006,14.2,28.2
transformer_iter8,0.012,0.012,10.4,28.2
clinicalbert_transformer,0.014,0.014,6.7,28.2
tfidf_logreg_notes_iter9,0.000,0.000,13.0,28.2
tabular_rf_xgb_iter9,0.002,0.000,8.7,28.2
gru_binary_iter9,0.003,0.003,16.2,28.2
lstm_binary_iter9,0.006,0.006,14.2,28.2
transformer_iter9,0.011,0.011,10.3,28.2
clinicalbert_transformer,0.014,0.014,8.7,28.2
tfidf_logreg_notes_iter10,0.000,0.000,13.5,28.2
tabular_rf_xgb_iter10,0.002,0.000,7.6,28.2
gru_binary_iter10,0.002,0.002,17.6,28.2
lstm_binary_iter10,0.009,0.009,12.2,28.2
transformer_iter10,0.011,0.011,10.6,28.2
clinicalbert_transformer,0.014,0.014,8.6,28.2
tfidf_logreg_notes_iter11,0.000,0.000,13.1,28.2
tabular_rf_xgb_iter11,0.001,0.000,7.4,28.2
gru_binary_iter11,0.005,0.005,17.0,28.2
lstm_binary_iter11,0.009,0.009,14.1,28.2
transformer_iter11,0.009,0.009,14.1,28.2
clinicalbert_transformer,0.014,0.014,8.6,28.2
tfidf_logreg_notes_iter12,0.000,0.000,11.5,28.2
tabular_rf_xgb_iter12,0.001,0.000,7.6,28.2
gru_binary_iter12,0.005,0.005,16.5,28.2
lstm_binary_iter12,0.010,0.010,13.8,28.2
transformer_iter12,0.010,0.010,13.8,28.2
clinicalbert_transformer,0.014,0.014,8.6,28.2
tfidf_logreg_notes_iter13,0.000,0.000,11.4,28.2
tabular_rf_xgb_iter13,0.001,0.000,6.9,28.2
gru_binary_iter13,0.004,0.004,16.3,28.2
transformer_iter13,0.006,0.006,15.0,28.2
lstm_binary_iter13,0.006,0.006,15.0,28.2
clinicalbert_transformer,0.013,0.013,8.1,28.2
tfidf_logreg_notes_iter14,0.000,0.000,12.1,28.2
tabular_rf_xgb_iter14,0.001,0.000,6.9,28.2
gru_binary_iter14,0.004,0.004,16.9,28.2
