model,iter,Class,Precision,Recall,F1-score,Fold,Macro-F1,Model,Avg_MacroF1,Fold1,Fold2,Fold3,Fold4,Fold5,AUC,subject_id,y_true,y_pred,Feature Index,Mean |SHAP|
clinicalbert_transformer,iter1,0,0.6919,0.6001,0.6427,,,,,,,,,,,,,,,
clinicalbert_transformer,iter1,1,0.3523,0.5916,0.4416,,,,,,,,,,,,,,,
clinicalbert_transformer,iter1,2,0.225,0.033,0.0575,,,,,,,,,,,,,,,
clinicalbert_transformer,iter1,Accuracy,0.5303,,,,,,,,,,,,,,,,,
clinicalbert_transformer,iter1,MacroAUC,0.6063,,,,,,,,,,,,,,,,,
clinicalbert_transformer,iter1,MicroAUC,0.6349,,,,,,,,,,,,,,,,,
tfidf,iter1,0,0.8277119416590701,0.6603636363636364,0.7346278317152104,,,,,,,,,,,,,,,
tfidf,iter1,1,0.5252263906856404,0.6710743801652893,0.5892597968069666,,,,,,,,,,,,,,,
tfidf,iter1,2,0.2718676122931442,0.3674121405750798,0.3125,,,,,,,,,,,,,,,
tfidf,iter1,Accuracy,0.6232010466637593,,,,,,,,,,,,,,,,,
tfidf,iter1,MacroAUC,0.7716639329070158,,,,,,,,,,,,,,,,,
gru,iter1,0,0.7451737451737451,0.1171116504854369,0.2024121657052962,,,,,,,,,,,,,,,
gru,iter1,1,0.3413566739606127,0.2209631728045325,0.2682717110920034,,,,,,,,,,,,,,,
gru,iter1,2,0.1223321186881832,0.8303886925795053,0.2132486388384755,,,,,,,,,,,,,,,
gru,iter1,Accuracy,0.2214637846037163,,,,,,,,,,,,,,,,,
gru,iter1,MacroAUC,0.5768518605843395,,,,,,,,,,,,,,,,,
gru,iter1,MicroAUC,0.4763459211831742,,,,,,,,,,,,,,,,,
stacker_best_model_folds_iter1.csv,iter1,,,,,Fold-1,0.5228,,,,,,,,,,,,,
stacker_best_model_folds_iter1.csv,iter1,,,,,Fold-2,0.5168,,,,,,,,,,,,,
stacker_best_model_folds_iter1.csv,iter1,,,,,Fold-3,0.5608,,,,,,,,,,,,,
stacker_best_model_folds_iter1.csv,iter1,,,,,Fold-4,0.519,,,,,,,,,,,,,
stacker_best_model_folds_iter1.csv,iter1,,,,,Fold-5,0.5774,,,,,,,,,,,,,
lstm,iter1,0,0.66,0.7008495145631068,0.6798116539140671,,,,,,,,,,,,,,,
lstm,iter1,1,0.3680555555555556,0.3002832861189802,0.3307332293291731,,,,,,,,,,,,,,,
lstm,iter1,2,0.1479099678456591,0.1625441696113074,0.1548821548821548,,,,,,,,,,,,,,,
lstm,iter1,Accuracy,0.5358361774744027,,,,,,,,,,,,,,,,,
lstm,iter1,MacroAUC,0.5947027339996439,,,,,,,,,,,,,,,,,
lstm,iter1,MicroAUC,0.6386573238196438,,,,,,,,,,,,,,,,,
stacker_multiclass_metrics_iter1_logisticregression.csv,iter1,0,0.7493,0.9161,0.8243,,,,,,,,,,,,,,,
stacker_multiclass_metrics_iter1_logisticregression.csv,iter1,1,0.6602,0.5763,0.6154,,,,,,,,,,,,,,,
stacker_multiclass_metrics_iter1_logisticregression.csv,iter1,2,0.5,0.0741,0.129,,,,,,,,,,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,LogisticRegression,0.5394,0.5228,0.5168,0.5608,0.519,0.5774,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,RandomForest,0.4845,0.518,0.4706,0.5045,0.4649,0.4645,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,XGBoost,0.5052,0.4853,0.5125,0.5466,0.502,0.4795,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,LightGBM,0.4989,0.5229,0.4815,0.4996,0.484,0.5065,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,CatBoost,0.4971,0.5232,0.457,0.5193,0.4956,0.4905,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,MLP,0.5198,0.5397,0.5072,0.5268,0.5337,0.4913,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,SVM,0.5347,0.5272,0.5118,0.5522,0.5187,0.5635,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,NaiveBayes,0.5072,0.5131,0.4943,0.5088,0.479,0.541,,,,,,
stacker_candidate_scores_iter1.csv,iter1,,,,,,,StackingCV,0.5342,0.5226,0.5137,0.5726,0.5138,0.5481,,,,,,
tabular,iter1,,,,,,,RandomForest,,,,,,,0.6436,,,,,
tabular,iter1,,,,,,,XGBoost,,,,,,,0.6634,,,,,
transformer,iter1,0,0.7021276595744681,0.1601941747572815,0.2608695652173913,,,,,,,,,,,,,,,
transformer,iter1,1,0.5294117647058824,0.0127478753541076,0.0248962655601659,,,,,,,,,,,,,,,
transformer,iter1,2,0.1198752228163992,0.950530035335689,0.2129006727344677,,,,,,,,,,,,,,,
transformer,iter1,Accuracy,0.2055365946150929,,,,,,,,,,,,,,,,,
transformer,iter1,MacroAUC,0.542487853069655,,,,,,,,,,,,,,,,,
transformer,iter1,MicroAUC,0.3841915441827302,,,,,,,,,,,,,,,,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,21246.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,15877.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,29668.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,14597.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,48174.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,24814.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,47803.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,91103.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,73756.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,50164.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,53152.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,86719.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,10425.0,2.0,2.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,28753.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,89528.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,50725.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,41016.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56829.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,67651.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,1232.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,23161.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,96017.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,11643.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,29508.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,29846.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,79538.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,68251.0,1.0,1.0,,
