model,iter,meta_type,mean_f1,std_f1,fold1,fold2,fold3,fold4,fold5
stacker,iter1,LogisticRegression,0.5357,0.029690352,0.519,0.5133,0.5715,0.5104,0.5644
stacker,iter1,RandomForest,0.4713,0.031989795,0.4881,0.4682,0.5165,0.4448,0.4388
stacker,iter1,XGBoost,0.5061,0.031540181,0.5164,0.4745,0.5308,0.5379,0.4707
stacker,iter1,LightGBM,0.5082,0.028481169,0.5211,0.4589,0.5314,0.5181,0.5116
stacker,iter1,CatBoost,0.4922,0.024382883,0.5166,0.4593,0.5127,0.4964,0.476
stacker,iter1,MLP,0.515,0.02323988,0.5382,0.5096,0.5082,0.5367,0.4822
stacker,iter1,SVM,0.5293,0.024342288,0.5333,0.4993,0.552,0.5094,0.5526
stacker,iter1,NaiveBayes,0.5181,0.02621387,0.4956,0.4998,0.5383,0.5031,0.5538
stacker,iter1,StackingCV,0.5326,0.028898062,0.5269,0.5211,0.5703,0.4945,0.55
stacker,iter10,LogisticRegression,0.5563,0.06476733,0.4889,0.6512,0.5454,0.5094,0.5865
stacker,iter10,RandomForest,0.4789,0.019553312,0.4694,0.5014,0.4504,0.4856,0.4876
stacker,iter10,XGBoost,0.5036,0.033461142,0.4495,0.5272,0.5185,0.4935,0.5295
stacker,iter10,LightGBM,0.5106,0.026320087,0.4856,0.5423,0.5,0.4899,0.5351
stacker,iter10,CatBoost,0.5134,0.020463822,0.4829,0.5157,0.5178,0.5107,0.5401
stacker,iter10,MLP,0.5117,0.034368547,0.509,0.5084,0.4797,0.4923,0.5692
stacker,iter10,SVM,0.5416,0.061124079,0.4885,0.6311,0.5332,0.4848,0.5702
stacker,iter10,NaiveBayes,0.1608,0.024871168,0.1888,0.1566,0.1305,0.1449,0.1832
stacker,iter10,StackingCV,0.5498,0.048598272,0.4996,0.6216,0.535,0.5187,0.574
stacker,iter11,LogisticRegression,0.5637,0.025715812,0.5353,0.5792,0.5361,0.582,0.5861
stacker,iter11,RandomForest,0.5136,0.037712266,0.5066,0.5582,0.4774,0.4787,0.5471
stacker,iter11,XGBoost,0.52,0.033316317,0.4862,0.5693,0.5181,0.4936,0.5329
stacker,iter11,LightGBM,0.5275,0.033155362,0.486,0.5784,0.5186,0.5258,0.5289
stacker,iter11,CatBoost,0.5201,0.026108772,0.4855,0.5427,0.5133,0.5495,0.5097
stacker,iter11,MLP,0.5325,0.0205805,0.5323,0.5341,0.5,0.5392,0.5568
stacker,iter11,SVM,0.5494,0.030495655,0.51,0.5734,0.5271,0.5821,0.5544
stacker,iter11,NaiveBayes,0.4774,0.12082268,0.5073,0.2655,0.5185,0.57,0.5257
