model,iter,Metric,Precision,Recall,F1,Value,Model,Accuracy,AUC,Precision_1,Recall_1,F1_1
tfidf,iter1,0,0.6087344028520499,0.8278787878787879,0.7015921931176169,,,,,,,
tfidf,iter1,1,0.8213836477987422,0.597985347985348,0.6921038685744568,,,,,,,
tfidf,iter1,Accuracy,0.6969222743870631,,,,,,,,,
tfidf,iter1,ROC_AUC,0.7706676656676656,,,,,,,,,
clinicalbert_transformer,iter1,Accuracy,,,,0.7318727177882107,,,,,,
clinicalbert_transformer,iter1,MacroAUC,,,,0.8252591852591854,,,,,,
clinicalbert_transformer,iter1,Precision_1,,,,0.8276643990929705,,,,,,
clinicalbert_transformer,iter1,Recall_1,,,,0.6684981684981685,,,,,,
clinicalbert_transformer,iter1,F1_1,,,,0.7396149949341438,,,,,,
gru,iter1,Accuracy,,,,0.7438284095507891,,,,,,
gru,iter1,AUC,,,,0.8293826752834255,,,,,,
gru,iter1,Precision_1,,,,0.7562604340567612,,,,,,
gru,iter1,Recall_1,,,,0.7265437048917401,,,,,,
gru,iter1,F1_1,,,,0.7411042944785277,,,,,,
lstm,iter1,Accuracy,,,,0.7405908539053015,,,,,,
lstm,iter1,AUC,,,,0.82827675309632,,,,,,
lstm,iter1,Precision_1,,,,0.7842401500938087,,,,,,
lstm,iter1,Recall_1,,,,0.6704089815557338,,,,,,
lstm,iter1,F1_1,,,,0.7228707306528318,,,,,,
transformer,iter1,Accuracy,,,,0.7430190206394173,,,,,,
transformer,iter1,AUC,,,,0.8220493891221284,,,,,,
transformer,iter1,Precision_1,,,,0.7597623089983022,,,,,,
transformer,iter1,Recall_1,,,,0.7177225340817963,,,,,,
transformer,iter1,F1_1,,,,0.7381443298969073,,,,,,
tabular,iter1,,,,,,RandomForest,0.7402,0.8247,0.7557,0.7169,0.7358
tabular,iter1,,,,,,XGBoost,0.7325,0.818,0.7466,0.7113,0.7285
tfidf,iter1,0,0.611062335381914,0.8355342136854742,0.7058823529411765,,,,,,,
tfidf,iter1,1,0.8216145833333334,0.5875232774674115,0.6851248642779587,,,,,,,
tfidf,iter1,Accuracy,0.6958573675930781,,,,,,,,,
tfidf,iter1,ROC_AUC,0.7726163090934699,,,,,,,,,
clinicalbert_transformer,iter1,Accuracy,,,,0.7503932878867331,,,,,,
clinicalbert_transformer,iter1,MacroAUC,,,,0.8366765700693685,,,,,,
clinicalbert_transformer,iter1,Precision_1,,,,0.8390022675736961,,,,,,
clinicalbert_transformer,iter1,Recall_1,,,,0.6890130353817505,,,,,,
clinicalbert_transformer,iter1,F1_1,,,,0.7566462167689162,,,,,,
gru,iter1,Accuracy,,,,0.7474706596519628,,,,,,
gru,iter1,AUC,,,,0.8293112620616276,,,,,,
gru,iter1,Precision_1,,,,0.7619848612279226,,,,,,
gru,iter1,Recall_1,,,,0.7265437048917401,,,,,,
gru,iter1,F1_1,,,,0.7438423645320197,,,,,,
lstm,iter1,Accuracy,,,,0.7486847430190207,,,,,,
lstm,iter1,AUC,,,,0.8319810682893847,,,,,,
lstm,iter1,Precision_1,,,,0.7769911504424779,,,,,,
lstm,iter1,Recall_1,,,,0.7040898155573376,,,,,,
lstm,iter1,F1_1,,,,0.7387463188893564,,,,,,
transformer,iter1,Accuracy,,,,0.745447187373533,,,,,,
transformer,iter1,AUC,,,,0.8301754275620967,,,,,,
transformer,iter1,Precision_1,,,,0.7508116883116883,,,,,,
transformer,iter1,Recall_1,,,,0.7417802726543705,,,,,,
transformer,iter1,F1_1,,,,0.746268656716418,,,,,,
tabular,iter1,,,,,,RandomForest,0.7422,0.8259,0.758,0.7185,0.7378
