iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter1,clinicalbert_transformer,Accuracy,0.7503932878867331,,,,,,,,,,
iter1,clinicalbert_transformer,MacroAUC,0.8366765700693685,,,,,,,,,,
iter1,clinicalbert_transformer,Precision_1,0.8390022675736961,,,,,,,,,,
iter1,clinicalbert_transformer,Recall_1,0.6890130353817505,,,,,,,,,,
iter1,clinicalbert_transformer,F1_1,0.7566462167689162,,,,,,,,,,
iter1,gru,Accuracy,0.7474706596519628,,,,,,,,,,
iter1,gru,AUC,0.8293112620616276,,,,,,,,,,
iter1,gru,Precision_1,0.7619848612279226,,,,,,,,,,
iter1,gru,Recall_1,0.7265437048917401,,,,,,,,,,
iter1,gru,F1_1,0.7438423645320197,,,,,,,,,,
iter1,lstm,Accuracy,0.7486847430190207,,,,,,,,,,
iter1,lstm,AUC,0.8319810682893847,,,,,,,,,,
iter1,lstm,Precision_1,0.7769911504424779,,,,,,,,,,
iter1,lstm,Recall_1,0.7040898155573376,,,,,,,,,,
iter1,lstm,F1_1,0.7387463188893564,,,,,,,,,,
iter1,tabular,,,RandomForest,0.8259,0.7422,,,,0.758,0.7185,0.7378,
iter1,tabular,,,XGBoost,0.821,0.7329,,,,0.7464,0.7129,0.7293,
iter1,tfidf,0,,,,,0.611062335381914,0.8355342136854742,,,,,0.7058823529411765
iter1,tfidf,1,,,,,0.8216145833333334,0.5875232774674115,,,,,0.6851248642779587
iter1,tfidf,Accuracy,,,,,0.6958573675930781,,,,,,
iter1,tfidf,ROC_AUC,,,,,0.7726163090934699,,,,,,
iter1,transformer,Accuracy,0.745447187373533,,,,,,,,,,
iter1,transformer,AUC,0.8301754275620967,,,,,,,,,,
iter1,transformer,Precision_1,0.7508116883116883,,,,,,,,,,
iter1,transformer,Recall_1,0.7417802726543705,,,,,,,,,,
iter1,transformer,F1_1,0.746268656716418,,,,,,,,,,
iter10,clinicalbert_transformer,Accuracy,0.7484177215189873,,,,,,,,,,
iter10,clinicalbert_transformer,MacroAUC,0.830461940551185,,,,,,,,,,
iter10,clinicalbert_transformer,Precision_1,0.8363431151241535,,,,,,,,,,
iter10,clinicalbert_transformer,Recall_1,0.6905871388630009,,,,,,,,,,
iter10,clinicalbert_transformer,F1_1,0.7565084226646248,,,,,,,,,,
iter10,gru,Accuracy,0.7494941319303926,,,,,,,,,,
iter10,gru,AUC,0.8267796961072587,,,,,,,,,,
iter10,gru,Precision_1,0.7973484848484849,,,,,,,,,,
