iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter22,clinicalbert_transformer,Accuracy,0.7506561679790026,,,,,,,
iter22,clinicalbert_transformer,MacroAUC,0.8341592008691291,,,,,,,
iter22,clinicalbert_transformer,Precision_1,0.8311688311688312,,,,,,,
iter22,clinicalbert_transformer,Recall_1,0.7065317387304508,,,,,,,
iter22,clinicalbert_transformer,F1_1,0.7637991049229239,,,,,,,
iter22,gru,Accuracy,0.7486847430190207,,,,,,,
iter22,gru,AUC,0.8313822454937603,,,,,,,
iter22,gru,Precision_1,0.766156462585034,,,,,,,
iter22,gru,Recall_1,0.7225340817963112,,,,,,,
iter22,gru,F1_1,0.7437061494015683,,,,,,,
iter22,lstm,Accuracy,0.7511129097531364,,,,,,,
iter22,lstm,AUC,0.8381180191937775,,,,,,,
iter22,tabular,,,RandomForest,0.845,,,,,
iter22,tabular,,,XGBoost,0.8086,,,,,
iter22,tfidf,0,,,,,0.6084229390681004,0.8300733496332519,,0.7021716649431231
iter22,tfidf,1,,,,,0.8238276299112801,0.5979760809567617,,0.6929637526652452
iter22,tfidf,Accuracy,,,,,0.6976377952755906,,,
iter22,tfidf,ROC_AUC,,,,,0.7907994682657682,,,
iter22,transformer,Accuracy,0.7308781869688386,,,,,,,
iter22,transformer,AUC,0.8269090916238188,,,,,,,
iter22,transformer,Precision_1,0.847255369928401,,,,,,,
iter22,transformer,Recall_1,0.5693664795509222,,,,,,,
iter22,transformer,F1_1,0.6810551558752997,,,,,,,
