iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter29,clinicalbert_transformer,Accuracy,0.7598958333333333,,,,,,,,,,
iter29,clinicalbert_transformer,MacroAUC,0.8397657564556089,,,,,,,,,,
iter29,clinicalbert_transformer,Precision_1,0.8245067497403946,,,,,,,,,,
iter29,clinicalbert_transformer,Recall_1,0.7311233885819521,,,,,,,,,,
iter29,clinicalbert_transformer,F1_1,0.7750122010736945,,,,,,,,,,
iter29,gru,Accuracy,0.7535410764872521,,,,,,,,,,
iter29,gru,AUC,0.8399105565776164,,,,,,,,,,
iter29,gru,Precision_1,0.7853309481216458,,,,,,,,,,
iter29,gru,Recall_1,0.7040898155573376,,,,,,,,,,
iter29,gru,F1_1,0.7424947145877379,,,,,,,,,,
iter29,lstm,Accuracy,0.7583974099554837,,,,,,,,,,
iter29,lstm,AUC,0.842060815237616,,,,,,,,,,
iter29,lstm,Precision_1,0.7981651376146789,,,,,,,,,,
iter29,lstm,Recall_1,0.6976744186046512,,,,,,,,,,
iter29,lstm,F1_1,0.7445442875481386,,,,,,,,,,
iter29,tabular,,,RandomForest,0.8375,0.7535,,,,0.7685,0.7322,0.7499,
iter29,tabular,,,XGBoost,0.841,0.7661,,,,0.7762,0.7538,0.7648,
iter29,tfidf,0,,,,,0.6070796460176991,0.8225419664268585,,,,,0.6985743380855397
iter29,tfidf,1,,,,,0.8126582278481013,0.5911602209944752,,,,,0.6844349680170576
iter29,tfidf,Accuracy,,,,,0.6916666666666667,,,,,,
iter29,tfidf,ROC_AUC,,,,,0.7827886861781294,,,,,,
iter29,transformer,Accuracy,0.7535410764872521,,,,,,,,,,
iter29,transformer,AUC,0.840989616910651,,,,,,,,,,
iter29,transformer,Precision_1,0.7981308411214953,,,,,,,,,,
iter29,transformer,Recall_1,0.6848436246992783,,,,,,,,,,
iter29,transformer,F1_1,0.7371601208459214,,,,,,,,,,
