iteration,model,class,precision,recall,f1-score
iter1,clinicalbert_transformer,0,0.7239,0.4335,0.5423
iter1,gru,0,0.763745704,0.539441748,0.632290185
iter1,gru_multiclass,0,0.7348,0.1462,0.2439
iter1,lstm,0,0.663390663,0.655339806,0.659340659
iter1,tabular_rf,0,0.686061113,0.678113364,0.682064087
iter1,tabular_xgb,0,0.791469194,0.069093918,0.127092846
iter1,tfidf,0,0.805309735,0.669610007,0.731217356
iter1,transformer,0,0.818181818,0.005461165,0.01084991
iter10,clinicalbert_transformer,0,0.734,0.5117,0.603
iter10,gru,0,0.667173252,0.266383495,0.38074588
iter10,lstm,0,0.666666667,0.626213592,0.645807259
iter10,tabular_rf,0,0.699727025,0.629038855,0.662502692
iter10,tabular_xgb,0,0.768025078,0.100204499,0.177279305
iter10,tfidf,0,0.821731749,0.696904248,0.754187768
iter10,transformer,0,0.715083799,0.155339806,0.255234297
iter11,clinicalbert_transformer,0,0.7208,0.4648,0.5651
iter11,gru,0,0.692127825,0.538834951,0.60593654
iter11,lstm,0,0.656965944,0.64381068,0.65032179
iter11,tabular_rf,0,0.700264085,0.649387755,0.673867006
iter11,tabular_xgb,0,0.836363636,0.03755102,0.071875
iter11,tfidf,0,0.831134565,0.685279188,0.751192369
iter11,transformer,0,0.727019499,0.158373786,0.260089686
iter12,clinicalbert_transformer,0,0.6471,0.6914,0.6685
iter12,gru,0,0.761938703,0.648665049,0.700753851
iter12,lstm,0,0.650468384,0.674150485,0.662097735
iter12,tabular_rf,0,0.685244404,0.636672326,0.660066007
iter12,tabular_xgb,0,0.773913043,0.037775891,0.072035613
iter12,tfidf,0,0.825251601,0.664701548,0.736326531
iter12,transformer,0,0.737265416,0.166868932,0.272142504
iter13,clinicalbert_transformer,0,0.6541,0.7595,0.7029
iter13,gru,0,0.766561514,0.147451456,0.247328244
iter13,lstm,0,0.676267281,0.712378641,0.693853428
iter13,tabular_rf,0,0.682554373,0.637424373,0.659217877
iter13,tabular_xgb,0,0.684210526,0.06741573,0.122738002
iter13,tfidf,0,0.817621145,0.678362573,0.741510188
iter13,transformer,0,1,0.000606796,0.001212856
